ite,time_1,time_2,ans
2,0.001,2.077E-4,
3,0,6.48E-5,
4,0,1.105E-4,
5,0,6.6E-5,
6,0,1.141E-4,
7,0,6.15E-5,
8,0,6.13E-5,
9,0,2.66E-5,
10,0,4.12E-5,
11,0,9.52E-5,
12,0,6.05E-5,
13,0.001,5.73E-5,
14,0,6.83E-5,
15,0,5.68E-5,
16,0,5.5E-5,
17,0,6.18E-5,
18,0,6.5E-5,
19,0,2.95E-5,
20,0,2.4E-5,
21,0,2.33E-5,
22,0,2.36E-5,
23,0,2.36E-5,
24,0,3.52E-5,
25,0,2.32E-5,
26,0,2.3E-5,
27,0,3.14E-5,
28,0,7.68E-5,
29,0,7.17E-5,
30,0,6.03E-5,
31,0,5.11E-5,
32,0,2.77E-5,
33,0,2.23E-5,
34,0,2.35E-5,
35,0,2.23E-5,
36,0,2.36E-5,
37,0,5.63E-5,
38,0,5.63E-5,
39,0,5.3E-5,
40,0,3.25E-5,
41,0,2.25E-5,
42,0,2.21E-5,
43,0,2.27E-5,
44,0,2.22E-5,
45,0,7.45E-5,
46,0,8.23E-5,
47,0,8.72E-5,
48,0,8.99E-5,
49,0,8.1E-5,
50,0,4.31E-5,
51,0,2.31E-5,
52,0,2.31E-5,
53,0,5.02E-5,
54,0,2.57E-5,
55,0,2.51E-5,
56,0,2.31E-5,
57,0.001,8.67E-5,
58,0,3.38E-5,
59,0,2.42E-5,
60,0,2.23E-5,
61,0,3.47E-5,
62,0,2.36E-5,
63,0,2.73E-5,
64,0,2.39E-5,
65,0,2.44E-5,
66,0,3.1E-5,
67,0,3.14E-5,
68,0,2.28E-5,
69,0,3.34E-5,
70,0,2.79E-5,
71,0,5.02E-5,
72,0,7.56E-5,
73,0,4.43E-5,
74,0,2.91E-5,
75,0,6.21E-5,
76,0,5.67E-5,
77,0.001,8.03E-5,
78,0,5.85E-5,
79,0,4.56E-5,
80,0,5.01E-5,
81,0,2.32E-5,
82,0,4.16E-5,
83,0,6.11E-5,
84,0,6.13E-5,
85,0,6.03E-5,
86,0,9.23E-5,
87,0,5.34E-5,
88,0,7.37E-5,
89,0,3.8E-5,
90,0,6.1E-5,
91,0,7.16E-5,
92,0,2.32E-5,
93,0,3.59E-5,
94,0,3.33E-5,
95,0,2.29E-5,
96,0,2.22E-5,
97,0,3.02E-5,
98,0,5.32E-5,
99,0,2.19E-5,
100,0,2.24E-5,
101,0,2.24E-5,
102,0,3.44E-5,
103,0,6.21E-5,
104,0.002,3.256E-4,
105,0,6.01E-5,
106,0,4.27E-5,
107,0.001,5.1E-5,
